@RELATION music_speech
@ATTRIBUTE RMS NUMERIC
@ATTRIBUTE PAR NUMERIC
@ATTRIBUTE ZCR NUMERIC
@ATTRIBUTE MAD NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
4.564357,0.113369,998.291339,0.031769,music
2.135055,0.101827,205.196850,0.012695,music
4.538258,0.096658,511.818898,0.035980,music
7.448566,0.053844,187.763780,0.072815,music
5.194080,0.063884,513.818898,0.045105,music
4.139803,0.144051,666.212598,0.026398,music
9.885498,0.101158,610.440945,0.072113,music
1.915819,0.067349,381.724409,0.013123,music
7.105738,0.090989,346.503937,0.056030,music
9.441400,0.099853,317.874016,0.074066,music
10.565200,0.071184,600.000000,0.071045,music
6.250178,0.073177,214.984252,0.051300,music
11.451886,0.086125,555.314961,0.086639,music
2.940566,0.092189,274.000000,0.018768,music
3.398751,0.087169,322.582677,0.027283,music
3.341235,0.089144,248.496063,0.019531,music
3.928047,0.142533,288.251969,0.022034,music
7.159107,0.109890,525.212598,0.052673,music
10.385648,0.087612,336.724409,0.092010,music
4.945045,0.086769,187.385827,0.036499,music
4.296851,0.103523,493.110236,0.033051,music
5.084189,0.122960,371.314961,0.031830,music
4.740977,0.139792,365.125984,0.034149,music
6.862667,0.113663,351.881890,0.041718,music
5.742202,0.098113,324.480315,0.040192,music
5.434419,0.133865,680.078740,0.037628,music
2.720304,0.059177,583.716535,0.023865,music
4.157648,0.109426,374.228346,0.034332,music
1.675524,0.144581,294.496063,0.007538,music
7.654360,0.097102,280.606299,0.066071,music
6.289416,0.086981,481.251969,0.049744,music
14.096993,0.070937,690.826772,0.130585,music
7.042405,0.094256,599.220472,0.049957,music
3.000922,0.077348,157.307087,0.022949,music
6.675650,0.067265,488.929134,0.059937,music
5.800026,0.122354,590.732283,0.039948,music
3.297407,0.070338,507.692913,0.028656,music
4.211562,0.080345,434.039370,0.030670,music
7.794006,0.080906,1120.433071,0.071198,music
5.757959,0.119464,459.015748,0.044067,music
7.009631,0.092115,482.850394,0.060577,music
10.258289,0.097482,844.362205,0.067474,music
1.641135,0.092977,342.566929,0.010803,music
4.670781,0.068996,422.637795,0.034729,music
11.550439,0.086204,333.346457,0.078796,music
10.356387,0.093370,338.645669,0.073578,music
3.003869,0.086020,415.952756,0.024139,music
4.002549,0.161472,225.267717,0.017792,music
6.584552,0.077456,308.818898,0.048767,music
11.641908,0.062569,416.212598,0.106842,music
9.048300,0.101594,557.968504,0.071808,music
7.353954,0.129840,378.771654,0.051849,music
7.750633,0.129022,425.590551,0.048676,music
8.235074,0.072682,370.874016,0.069366,music
6.257193,0.125710,715.527559,0.050598,music
6.652745,0.114919,644.244094,0.055298,music
4.068980,0.055388,489.472441,0.037292,music
4.507821,0.062195,784.377953,0.040802,music
6.097421,0.120540,313.834646,0.045990,music
5.941531,0.116199,458.086614,0.047516,music
6.755672,0.100253,499.283465,0.060150,music
6.504145,0.097899,510.338583,0.048859,music
5.751189,0.083877,434.519685,0.046997,music
5.684256,0.136383,378.086614,0.031372,music
2.288428,0.157227,225.118110,0.006470,speech
4.032866,0.113705,381.338583,0.019379,speech
5.041473,0.165764,495.425197,0.033173,speech
2.789843,0.284956,795.992126,0.008514,speech
4.546582,0.219945,676.472441,0.014099,speech
1.918311,0.072352,426.070866,0.010498,speech
6.235832,0.065989,450.291339,0.022278,speech
6.344857,0.157603,432.220472,0.031616,speech
10.946497,0.091351,867.598425,0.012085,speech
7.990225,0.125153,805.889764,0.026917,speech
7.136261,0.140129,851.944882,0.027802,speech
2.008562,0.374404,785.409449,0.006775,speech
4.884322,0.204730,917.165354,0.018158,speech
3.911309,0.255661,790.818898,0.011658,speech
3.616719,0.054230,420.165354,0.023804,speech
8.391433,0.074059,599.858268,0.050720,speech
6.446237,0.059210,565.496063,0.046814,speech
1.747993,0.059551,596.622047,0.011169,speech
3.478625,0.287461,870.196850,0.008179,speech
1.313940,0.311670,814.740157,0.005341,speech
4.674807,0.064935,367.803150,0.022736,speech
2.535962,0.117054,444.511811,0.006927,speech
4.070908,0.081524,303.448819,0.012573,speech
3.676814,0.057046,557.551181,0.024750,speech
0.959780,0.057647,503.133858,0.006317,speech
4.612702,0.216786,531.511811,0.019836,speech
3.733931,0.073484,324.346457,0.017090,speech
3.789750,0.183705,798.354331,0.011902,speech
3.278503,0.253709,287.937008,0.022034,speech
2.540123,0.207233,636.834646,0.009308,speech
3.602621,0.058289,451.322835,0.019989,speech
2.513015,0.090775,251.031496,0.012451,speech
3.434006,0.237102,711.740157,0.010895,speech
2.580431,0.057477,645.472441,0.015869,speech
8.543533,0.117048,967.433071,0.020721,speech
6.675439,0.089471,348.582677,0.023834,speech
2.394951,0.271249,796.811024,0.006683,speech
3.961072,0.175506,777.440945,0.015839,speech
6.629409,0.051479,680.622047,0.047485,speech
2.589446,0.058491,616.811024,0.018524,speech
7.850720,0.058277,520.905512,0.050903,speech
1.702344,0.055483,479.448819,0.009918,speech
4.360396,0.119001,90.519685,0.005707,speech
6.526923,0.057931,409.976378,0.033813,speech
3.918437,0.176473,847.842520,0.015137,speech
4.119076,0.148229,776.700787,0.013275,speech
2.937153,0.340466,729.913386,0.018188,speech
4.958925,0.054679,489.055118,0.033752,speech
4.723050,0.193254,756.251969,0.019928,speech
3.229126,0.177560,712.692913,0.013184,speech
1.284516,0.054406,522.259843,0.008911,speech
5.094149,0.063975,461.448819,0.032288,speech
5.745735,0.059646,408.385827,0.031830,speech
3.514522,0.055425,550.314961,0.022827,speech
4.804880,0.055651,377.401575,0.029205,speech
11.963875,0.057077,550.259843,0.082489,speech
4.903453,0.057382,495.362205,0.030365,speech
6.649962,0.150372,726.291339,0.019958,speech
6.576443,0.076623,379.228346,0.026917,speech
6.233011,0.059938,416.708661,0.029388,speech
4.046681,0.060844,345.299213,0.020111,speech
6.261495,0.061615,456.181102,0.033173,speech
3.718699,0.078249,449.307087,0.017151,speech
5.081627,0.057911,429.377953,0.031982,speech
